row_id,num_objects,head_x,head_y,tail_x,tail_y,start_x,start_y,end_x,end_y
1,38,79.348,-3.188,98.065,-3.229,80.63,-2.124,97.06,-2.302
2,38,79.183,-4.969,98.154,-5.088,80.202,-4.188,97.017,-4.169
3,38,79.21,-6.889,98.205,-6.865,80.164,-5.947,97.072,-6.019
4,38,79.251,-8.589,98.225,-8.643,80.248,-7.715,97.098,-7.769
5,38,79.124,-10.41,98.146,-10.505,80.174,-9.538,97.041,-9.538
6,38,79.201,-12.208,98.42,-12.347,80.252,-11.401,97.049,-11.472
7,38,79.144,-14.151,98.263,-14.198,80.21,-13.299,97.045,-13.196
8,38,79.224,-15.873,98.704,-16.053,80.27,-15.146,96.993,-15.014
9,38,79.289,-17.683,98.319,-17.887,80.245,-16.993,97.045,-16.867
10,38,79.241,-19.556,98.265,-19.682,80.259,-18.758,97.136,-18.751
