row_id,num_objects,head_x,head_y,tail_x,tail_y,start_x,start_y,end_x,end_y
1,38,-0.992,-4.02,17.725,-4.061,0.29,-2.956,16.72,-3.134
2,38,-1.157,-5.801,17.814,-5.92,-0.138,-5.02,16.677,-5.001
3,38,-1.13,-7.721,17.865,-7.697,-0.176,-6.779,16.732,-6.851
4,38,-1.089,-9.421,17.885,-9.475,-0.092,-8.547,16.758,-8.601
5,38,-1.216,-11.242,17.806,-11.337,-0.166,-10.37,16.701,-10.37
6,38,-1.139,-13.04,18.08,-13.179,-0.088,-12.233,16.709,-12.304
7,38,-1.196,-14.983,17.923,-15.03,-0.13,-14.131,16.705,-14.028
8,38,-1.116,-16.705,18.364,-16.885,-0.07,-15.978,16.653,-15.846
9,38,-1.051,-18.515,17.979,-18.719,-0.095,-17.825,16.705,-17.699
10,38,-1.099,-20.388,17.925,-20.514,-0.081,-19.59,16.796,-19.583
