object_id,row_id,x_coord,y_coord,orientation_deg
1,1,0.288,-4.023,-0.13
2,1,0.732,-4.024,-0.13
3,1,1.176,-4.025,-0.13
4,1,1.62,-4.026,-0.13
5,1,2.064,-4.027,-0.13
6,1,2.508,-4.028,-0.13
7,1,2.952,-4.029,-0.13
8,1,3.396,-4.03,-0.13
9,1,3.84,-4.031,-0.13
10,1,4.284,-4.032,-0.13
11,1,4.728,-4.033,-0.13
12,1,5.172,-4.034,-0.13
13,1,5.616,-4.034,-0.13
14,1,6.06,-4.035,-0.13
15,1,6.505,-4.036,-0.13
16,1,6.949,-4.037,-0.13
17,1,7.393,-4.038,-0.13
18,1,7.837,-4.039,-0.13
19,1,8.281,-4.04,-0.13
20,1,8.725,-4.041,-0.13
21,1,9.169,-4.042,-0.13
22,1,9.613,-4.043,-0.13
23,1,10.057,-4.044,-0.13
24,1,10.501,-4.045,-0.13
25,1,10.945,-4.046,-0.13
26,1,11.389,-4.047,-0.13
27,1,11.833,-4.048,-0.13
28,1,12.277,-4.049,-0.13
29,1,12.721,-4.05,-0.13
30,1,13.165,-4.051,-0.13
31,1,13.61,-4.052,-0.13
32,1,14.054,-4.053,-0.13
33,1,14.498,-4.054,-0.13
34,1,14.942,-4.055,-0.13
35,1,15.386,-4.056,-0.13
36,1,15.83,-4.057,-0.13
37,1,16.274,-4.058,-0.13
38,1,16.718,-4.059,-0.13
39,2,-0.143,-5.807,-0.36
40,2,0.311,-5.81,-0.36
41,2,0.766,-5.813,-0.36
42,2,1.22,-5.816,-0.36
43,2,1.675,-5.819,-0.36
44,2,2.129,-5.822,-0.36
45,2,2.584,-5.824,-0.36
46,2,3.038,-5.827,-0.36
47,2,3.493,-5.83,-0.36
48,2,3.947,-5.833,-0.36
49,2,4.401,-5.836,-0.36
50,2,4.856,-5.839,-0.36
51,2,5.31,-5.842,-0.36
52,2,5.765,-5.844,-0.36
53,2,6.219,-5.847,-0.36
54,2,6.674,-5.85,-0.36
55,2,7.128,-5.853,-0.36
56,2,7.583,-5.856,-0.36
57,2,8.037,-5.859,-0.36
58,2,8.491,-5.862,-0.36
59,2,8.946,-5.864,-0.36
60,2,9.4,-5.867,-0.36
61,2,9.855,-5.87,-0.36
62,2,10.309,-5.873,-0.36
63,2,10.764,-5.876,-0.36
64,2,11.218,-5.879,-0.36
65,2,11.672,-5.881,-0.36
66,2,12.127,-5.884,-0.36
67,2,12.581,-5.887,-0.36
68,2,13.036,-5.89,-0.36
69,2,13.49,-5.893,-0.36
70,2,13.945,-5.896,-0.36
71,2,14.399,-5.899,-0.36
72,2,14.854,-5.901,-0.36
73,2,15.308,-5.904,-0.36
74,2,15.762,-5.907,-0.36
75,2,16.217,-5.91,-0.36
76,2,16.671,-5.913,-0.36
77,3,-0.175,-7.72,0.07
78,3,0.282,-7.719,0.07
79,3,0.739,-7.719,0.07
80,3,1.196,-7.718,0.07
81,3,1.653,-7.717,0.07
82,3,2.11,-7.717,0.07
83,3,2.567,-7.716,0.07
84,3,3.024,-7.716,0.07
85,3,3.481,-7.715,0.07
86,3,3.938,-7.715,0.07
87,3,4.395,-7.714,0.07
88,3,4.852,-7.713,0.07
89,3,5.309,-7.713,0.07
90,3,5.766,-7.712,0.07
91,3,6.223,-7.712,0.07
92,3,6.68,-7.711,0.07
93,3,7.137,-7.711,0.07
94,3,7.594,-7.71,0.07
95,3,8.051,-7.709,0.07
96,3,8.508,-7.709,0.07
97,3,8.965,-7.708,0.07
98,3,9.422,-7.708,0.07
99,3,9.879,-7.707,0.07
100,3,10.335,-7.707,0.07
101,3,10.792,-7.706,0.07
102,3,11.249,-7.705,0.07
103,3,11.706,-7.705,0.07
104,3,12.163,-7.704,0.07
105,3,12.62,-7.704,0.07
106,3,13.077,-7.703,0.07
107,3,13.534,-7.702,0.07
108,3,13.991,-7.702,0.07
109,3,14.448,-7.701,0.07
110,3,14.905,-7.701,0.07
111,3,15.362,-7.7,0.07
112,3,15.819,-7.7,0.07
113,3,16.276,-7.699,0.07
114,3,16.733,-7.698,0.07
115,4,-0.094,-9.424,-0.16
116,4,0.361,-9.425,-0.16
117,4,0.816,-9.426,-0.16
118,4,1.272,-9.428,-0.16
119,4,1.727,-9.429,-0.16
120,4,2.183,-9.43,-0.16
121,4,2.638,-9.432,-0.16
122,4,3.093,-9.433,-0.16
123,4,3.549,-9.434,-0.16
124,4,4.004,-9.435,-0.16
125,4,4.46,-9.437,-0.16
126,4,4.915,-9.438,-0.16
127,4,5.37,-9.439,-0.16
