shape,x,y,size_1,size_2
circle,0.288,-4.023,0.3,0
circle,0.732,-4.024,0.3,0
circle,1.176,-4.025,0.3,0
circle,1.62,-4.026,0.3,0
circle,2.064,-4.027,0.3,0
circle,2.508,-4.028,0.3,0
circle,2.952,-4.029,0.3,0
circle,3.396,-4.03,0.3,0
circle,3.84,-4.031,0.3,0
circle,4.284,-4.032,0.3,0
circle,4.728,-4.033,0.3,0
circle,5.172,-4.034,0.3,0
circle,5.616,-4.034,0.3,0
circle,6.06,-4.035,0.3,0
circle,6.505,-4.036,0.3,0
circle,6.949,-4.037,0.3,0
circle,7.393,-4.038,0.3,0
circle,7.837,-4.039,0.3,0
circle,8.281,-4.04,0.3,0
circle,8.725,-4.041,0.3,0
circle,9.169,-4.042,0.3,0
circle,9.613,-4.043,0.3,0
circle,10.057,-4.044,0.3,0
circle,10.501,-4.045,0.3,0
circle,10.945,-4.046,0.3,0
circle,11.389,-4.047,0.3,0
circle,11.833,-4.048,0.3,0
circle,12.277,-4.049,0.3,0
circle,12.721,-4.05,0.3,0
circle,13.165,-4.051,0.3,0
circle,13.61,-4.052,0.3,0
circle,14.054,-4.053,0.3,0
circle,14.498,-4.054,0.3,0
circle,14.942,-4.055,0.3,0
circle,15.386,-4.056,0.3,0
circle,15.83,-4.057,0.3,0
circle,16.274,-4.058,0.3,0
circle,16.718,-4.059,0.3,0
circle,-0.143,-5.807,0.3,0
circle,0.311,-5.81,0.3,0
circle,0.766,-5.813,0.3,0
circle,1.22,-5.816,0.3,0
circle,1.675,-5.819,0.3,0
circle,2.129,-5.822,0.3,0
circle,2.584,-5.824,0.3,0
circle,3.038,-5.827,0.3,0
circle,3.493,-5.83,0.3,0
circle,3.947,-5.833,0.3,0
circle,4.401,-5.836,0.3,0
circle,4.856,-5.839,0.3,0
circle,5.31,-5.842,0.3,0
circle,5.765,-5.844,0.3,0
circle,6.219,-5.847,0.3,0
circle,6.674,-5.85,0.3,0
circle,7.128,-5.853,0.3,0
circle,7.583,-5.856,0.3,0
circle,8.037,-5.859,0.3,0
circle,8.491,-5.862,0.3,0
circle,8.946,-5.864,0.3,0
circle,9.4,-5.867,0.3,0
circle,9.855,-5.87,0.3,0
circle,10.309,-5.873,0.3,0
circle,10.764,-5.876,0.3,0
circle,11.218,-5.879,0.3,0
circle,11.672,-5.881,0.3,0
circle,12.127,-5.884,0.3,0
circle,12.581,-5.887,0.3,0
circle,13.036,-5.89,0.3,0
circle,13.49,-5.893,0.3,0
circle,13.945,-5.896,0.3,0
circle,14.399,-5.899,0.3,0
circle,14.854,-5.901,0.3,0
circle,15.308,-5.904,0.3,0
circle,15.762,-5.907,0.3,0
circle,16.217,-5.91,0.3,0
circle,16.671,-5.913,0.3,0
circle,-0.175,-7.72,0.3,0
circle,0.282,-7.719,0.3,0
circle,0.739,-7.719,0.3,0
circle,1.196,-7.718,0.3,0
circle,1.653,-7.717,0.3,0
circle,2.11,-7.717,0.3,0
circle,2.567,-7.716,0.3,0
circle,3.024,-7.716,0.3,0
circle,3.481,-7.715,0.3,0
circle,3.938,-7.715,0.3,0
circle,4.395,-7.714,0.3,0
circle,4.852,-7.713,0.3,0
circle,5.309,-7.713,0.3,0
circle,5.766,-7.712,0.3,0
circle,6.223,-7.712,0.3,0
circle,6.68,-7.711,0.3,0
circle,7.137,-7.711,0.3,0
circle,7.594,-7.71,0.3,0
circle,8.051,-7.709,0.3,0
circle,8.508,-7.709,0.3,0
circle,8.965,-7.708,0.3,0
circle,9.422,-7.708,0.3,0
circle,9.879,-7.707,0.3,0
circle,10.335,-7.707,0.3,0
circle,10.792,-7.706,0.3,0
circle,11.249,-7.705,0.3,0
circle,11.706,-7.705,0.3,0
circle,12.163,-7.704,0.3,0
circle,12.62,-7.704,0.3,0
circle,13.077,-7.703,0.3,0
circle,13.534,-7.702,0.3,0
circle,13.991,-7.702,0.3,0
circle,14.448,-7.701,0.3,0
circle,14.905,-7.701,0.3,0
circle,15.362,-7.7,0.3,0
circle,15.819,-7.7,0.3,0
circle,16.276,-7.699,0.3,0
circle,16.733,-7.698,0.3,0
circle,-0.094,-9.424,0.3,0
circle,0.361,-9.425,0.3,0
circle,0.816,-9.426,0.3,0
circle,1.272,-9.428,0.3,0
circle,1.727,-9.429,0.3,0
circle,2.183,-9.43,0.3,0
circle,2.638,-9.432,0.3,0
circle,3.093,-9.433,0.3,0
circle,3.549,-9.434,0.3,0
circle,4.004,-9.435,0.3,0
circle,4.46,-9.437,0.3,0
circle,4.915,-9.438,0.3,0
circle,5.37,-9.439,0.3,0
circle,5.826,-9.441,0.3,0
circle,6.281,-9.442,0.3,0
circle,6.737,-9.443,0.3,0
circle,7.192,-9.445,0.3,0
circle,7.647,-9.446,0.3,0
circle,8.103,-9.447,0.3,0
circle,8.558,-9.448,0.3,0
circle,9.014,-9.45,0.3,0
circle,9.469,-9.451,0.3,0
circle,9.924,-9.452,0.3,0
circle,10.38,-9.454,0.3,0
circle,10.835,-9.455,0.3,0
circle,11.291,-9.456,0.3,0
circle,11.746,-9.458,0.3,0
circle,12.201,-9.459,0.3,0
circle,12.657,-9.46,0.3,0
circle,13.112,-9.461,0.3,0
circle,13.568,-9.463,0.3,0
circle,14.023,-9.464,0.3,0
circle,14.478,-9.465,0.3,0
circle,14.934,-9.467,0.3,0
circle,15.389,-9.468,0.3,0
circle,15.845,-9.469,0.3,0
circle,16.3,-9.47,0.3,0
circle,16.756,-9.472,0.3,0
circle,-0.17,-11.247,0.3,0
circle,0.285,-11.249,0.3,0
circle,0.741,-11.252,0.3,0
circle,1.197,-11.254,0.3,0
circle,1.653,-11.256,0.3,0
circle,2.109,-11.259,0.3,0
circle,2.565,-11.261,0.3,0
circle,3.021,-11.263,0.3,0
circle,3.476,-11.265,0.3,0
circle,3.932,-11.268,0.3,0
circle,4.388,-11.27,0.3,0
circle,4.844,-11.272,0.3,0
circle,5.3,-11.275,0.3,0
circle,5.756,-11.277,0.3,0
circle,6.212,-11.279,0.3,0
circle,6.667,-11.281,0.3,0
circle,7.123,-11.284,0.3,0
circle,7.579,-11.286,0.3,0
circle,8.035,-11.288,0.3,0
circle,8.491,-11.29,0.3,0
circle,8.947,-11.293,0.3,0
circle,9.403,-11.295,0.3,0
circle,9.858,-11.297,0.3,0
circle,10.314,-11.3,0.3,0
circle,10.77,-11.302,0.3,0
circle,11.226,-11.304,0.3,0
circle,11.682,-11.306,0.3,0
circle,12.138,-11.309,0.3,0
circle,12.594,-11.311,0.3,0
circle,13.049,-11.313,0.3,0
circle,13.505,-11.316,0.3,0
circle,13.961,-11.318,0.3,0
circle,14.417,-11.32,0.3,0
circle,14.873,-11.322,0.3,0
circle,15.329,-11.325,0.3,0
circle,15.784,-11.327,0.3,0
circle,16.24,-11.329,0.3,0
circle,16.696,-11.331,0.3,0
circle,-0.094,-13.048,0.3,0
circle,0.36,-13.051,0.3,0
circle,0.814,-13.054,0.3,0
circle,1.268,-13.057,0.3,0
circle,1.722,-13.061,0.3,0
circle,2.176,-13.064,0.3,0
circle,2.63,-13.067,0.3,0
circle,3.084,-13.071,0.3,0
circle,3.538,-13.074,0.3,0
circle,3.992,-13.077,0.3,0
circle,4.446,-13.08,0.3,0
circle,4.9,-13.084,0.3,0
circle,5.354,-13.087,0.3,0
circle,5.808,-13.09,0.3,0
circle,6.262,-13.094,0.3,0
circle,6.716,-13.097,0.3,0
circle,7.17,-13.1,0.3,0
circle,7.623,-13.103,0.3,0
circle,8.077,-13.107,0.3,0
circle,8.531,-13.11,0.3,0
circle,8.985,-13.113,0.3,0
circle,9.439,-13.117,0.3,0
circle,9.893,-13.12,0.3,0
circle,10.347,-13.123,0.3,0
circle,10.801,-13.126,0.3,0
circle,11.255,-13.13,0.3,0
circle,11.709,-13.133,0.3,0
circle,12.163,-13.136,0.3,0
circle,12.617,-13.139,0.3,0
circle,13.071,-13.143,0.3,0
circle,13.525,-13.146,0.3,0
circle,13.979,-13.149,0.3,0
circle,14.433,-13.153,0.3,0
circle,14.887,-13.156,0.3,0
circle,15.341,-13.159,0.3,0
circle,15.795,-13.162,0.3,0
circle,16.249,-13.166,0.3,0
circle,16.703,-13.169,0.3,0
circle,-0.132,-14.986,0.3,0
circle,0.323,-14.987,0.3,0
circle,0.778,-14.988,0.3,0
